Description,SKSCodes_range,SKSCodes
Infektiøse tarmsygdomme [DA00-DA09],DA00-DA09,"DA00, DA000, DA001, DA009, DA01, DA010, DA011, DA012, DA013, DA014, DA02, DA020, DA021, DA022, DA028, DA029, DA03, DA030, DA031, DA032, DA033, DA038, DA039, DA04, DA040, DA041, DA042, DA043, DA044, DA045, DA046, DA047, DA048, DA049, DA05, DA050, DA051, DA052, DA053, DA054, DA058, DA059, DA06, DA060, DA061, DA062, DA063, DA063A, DA064, DA065, DA066, DA067, DA068, DA068A, DA069, DA07, DA070, DA071, DA072, DA073, DA078, DA078A, DA078C, DA078D, DA079, DA08, DA080, DA081, DA082, DA083, DA083A, DA084, DA085, DA09, DA090, DA099"
Tuberkulose [DA15-DA19],DA15-DA19,"DA15, DA150, DA151, DA152, DA153, DA154, DA155, DA156, DA157, DA158, DA158A, DA158B, DA158C, DA159, DA16, DA160, DA161, DA162, DA162A, DA162B, DA162C, DA163, DA164, DA165, DA167, DA168, DA168A, DA168B, DA168C, DA169, DA17, DA170, DA171, DA178, DA179, DA18, DA180, DA181, DA182, DA183, DA183F, DA183G, DA183H, DA184, DA184A, DA184B, DA184C, DA184D, DA184F, DA184G, DA184H, DA184I, DA184J, DA185, DA186, DA187, DA187A, DA188, DA19, DA190, DA191, DA192, DA198, DA199"
Visse dyreoverførte bakterielle sygdomme [DA20-DA28],DA20-DA28,"DA20, DA200, DA201, DA202, DA203, DA207, DA208, DA209, DA21, DA210, DA211, DA212, DA213, DA217, DA218, DA219, DA22, DA220, DA221, DA222, DA227, DA228, DA229, DA23, DA230, DA231, DA232, DA233, DA238, DA239, DA24, DA240, DA241, DA242, DA243, DA244, DA25, DA250, DA250A, DA251, DA259, DA26, DA260, DA267, DA268, DA269, DA27, DA270, DA278, DA279, DA28, DA280, DA281, DA282, DA282B, DA288, DA289"
Andre bakterielle sygdomme [DA30-DA49],DA30-DA49,"DA30, DA300, DA301, DA302, DA303, DA304, DA305, DA308, DA309, DA31, DA310, DA310A, DA310B, DA310C, DA311, DA311A, DA311B, DA318, DA319, DA32, DA320, DA321, DA327, DA328, DA328A, DA329, DA33, DA339, DA34, DA349, DA35, DA359, DA36, DA360, DA360A, DA361, DA362, DA362A, DA363, DA368, DA369, DA37, DA370, DA371, DA378, DA379, DA38, DA389, DA39, DA390, DA391, DA392, DA392A, DA393, DA394, DA395, DA398, DA399, DA40, DA400, DA401, DA402, DA403, DA408, DA409, DA41, DA410, DA411, DA411A, DA412, DA413, DA414, DA415, DA415A, DA418, DA419, DA419B, DA419C, DA42, DA420, DA421, DA422, DA427, DA428, DA429, DA43, DA430, DA431, DA438, DA439, DA44, DA440, DA441, DA448, DA449, DA46, DA469, DA48, DA480, DA481, DA482, DA483, DA484, DA484A, DA488, DA488A, DA49, DA490, DA491, DA492, DA493, DA498, DA499, DA499A"
"Infektioner, som overvejende er seksuelt overført [DA50-DA64]",DA50-DA64,"DA50, DA500, DA501, DA502, DA503, DA504, DA505, DA505A, DA505B, DA505C, DA506, DA507, DA509, DA51, DA510, DA511, DA512, DA513, DA513A, DA513F, DA514, DA514A, DA515, DA519, DA52, DA520, DA521, DA521D, DA522, DA523, DA527, DA527A, DA527C, DA528, DA529, DA53, DA530, DA539, DA54, DA540, DA540A, DA540B, DA540D, DA540E, DA540F, DA541, DA541A, DA541B, DA542, DA543, DA543A, DA544, DA545, DA546, DA548, DA548B, DA548G, DA549, DA55, DA559, DA56, DA560, DA560A, DA560C, DA560D, DA560E, DA561, DA562, DA563, DA564, DA568, DA57, DA579, DA58, DA589, DA59, DA590, DA590A, DA590C, DA598, DA599, DA60, DA600, DA601, DA601A, DA601B, DA601C, DA609, DA63, DA630, DA630B, DA630C, DA630D, DA630E, DA638, DA638A, DA64, DA649"
Andre sygdomme forårsaget af spirokæter [DA65-DA69],DA65-DA69,"DA65, DA659, DA66, DA660, DA661, DA662, DA663, DA664, DA665, DA666, DA667, DA668, DA669, DA67, DA670, DA671, DA672, DA673, DA679, DA68, DA680, DA681, DA689, DA69, DA690, DA690A, DA690B, DA690C, DA691, DA691A, DA691B, DA691C, DA691E, DA691F, DA691G, DA692, DA692A, DA692D, DA692F, DA698, DA699"
Andre sygdomme forårsaget af Klamydia-bakterier [DA70-DA74],DA70-DA74,"DA70, DA709, DA71, DA710, DA711, DA719, DA74, DA740, DA748, DA749"
Rickettsia-infektioner [DA75-DA79],DA75-DA79,"DA75, DA750, DA751, DA752, DA753, DA759, DA77, DA770, DA771, DA772, DA773, DA778, DA779, DA78, DA789, DA79, DA790, DA791, DA798, DA798A, DA798B, DA799"
Virale infektioner i centralnervesystemet [DA80-DA89],DA80-DA89,"DA80, DA800, DA801, DA802, DA803, DA804, DA809, DA81, DA810, DA811, DA812, DA818, DA818A, DA818B, DA819, DA819A, DA82, DA820, DA821, DA829, DA83, DA830, DA831, DA832, DA833, DA834, DA835, DA836, DA838, DA839, DA84, DA840, DA841, DA848, DA849, DA85, DA850, DA851, DA852, DA858, DA858A, DA86, DA869, DA87, DA870, DA870A, DA870B, DA871, DA872, DA872A, DA878, DA879, DA88, DA880, DA881, DA888, DA89, DA899"
Virale febersygdomme overført af leddyr og virale hæmoragiske febersygdomme [DA92-DA99],DA92-DA99,"DA92, DA920, DA921, DA922, DA923, DA924, DA925, DA928, DA929, DA93, DA930, DA931, DA932, DA938, DA94, DA949, DA95, DA950, DA951, DA959, DA96, DA960, DA961, DA962, DA968, DA969, DA97, DA970, DA971, DA972, DA979, DA98, DA980, DA981, DA982, DA983, DA984, DA985, DA985A, DA985B, DA985C, DA988, DA99, DA999"
